id,date_key,date_label,month_number,month_name,day,filename,source_image_path,site_image_path,raw_ocr_text,cleaned_text,author,special_type,include_in_default_archive,needs_review,notes,ocr_default,ocr_crop_gray,ocr_crop_contrast,ocr_color_mask,ocr_chosen_variant
jan-01,01-01,January 1,1,January,1,01_Jan.png,source_images/01_Jan/01_Jan.png,assets/quotes/01_Jan/01_Jan.png,"Tf you wet « successful front 6f fice,
both the head coach and the GM need t.
diop thet egos. off at the door and feed

on the scune philosophy.
- Homer Wells, GM, Minnesota Norsemen","If you want a successful front office, both the head coach and the GM need to drop their egos off at the door and feed on the same philosophy.","Homer Wells, GM, Minnesota Norsemen",,true,true,,"co Quote of the Day Qo
‘Tf you want a successful front of fice,
both the head coach and the GM need to.
dup their egos of f at the door and feed
on the same philosophy’
- Homer Wells, GM, Minnesota Norsemen","hoth the head coach and the GM need to
diop their egos off at the door and feed
on the same philosophy:
- Homer Wells, GM, Minnesota Norsemen","both the head coach and the GM need to
dup their egos off at the door and feed
on the same philosophy.
- Homer Wells, GM, Minnesota Norsemen","Tf you wet « successful front 6f fice,
both the head coach and the GM need t.
diop thet egos. off at the door and feed

on the scune philosophy.
- Homer Wells, GM, Minnesota Norsemen",ocr_color_mask
jan-02,01-02,January 2,1,January,2,02_Jan.png,source_images/01_Jan/02_Jan.png,assets/quotes/01_Jan/02_Jan.png,"‘Newdy everyone has a dot on ow dusft
hoard every year. Ninety percent of anyone
who has ever stuapped on shoulder pads
has had some type of tewe in his labrum.
Successful durfting means being able to-
tust your doctors.

- Doremus Jessup, GM, New England Colonials",Nearly everyone has a dot on our draft board every year. Ninety percent of anyone who has ever strapped on shoulder pads has had some type of tear in his labrum. Successful drafting means being able to trust your doctors.,"Doremus Jessup, GM, New England Colonials",,true,true,,"eS ————siQuotecoftheDay se
“Newly everyone has a dot on cur duaft
bowl every year. Ninety perent of anyone
who has ever stupped on shoulder pads
tust your doctors:
- Doremus Jessup, GM, New England Colonials","‘Newdy everyone has a dot on ow dusft
hoard every year. Ninety percent of anyone
who has ever stuapped on shoulder pads
has had some type of tewe in his labrum.
Successful durfting means being able to-
tust your doctors.

- Doremus Jessup, GM, New England Colonials","“Newdy everyone has a dot on ow duft
board every year. Ninety pewent of anyone
who has ever stuapped on shoulder pads
has had some type of tear in his labrum.
Successful duifting means being able to-
tiust your doctors.

- Doremus Jessup, GM, New England Colonials","‘Neady ceeryone has. a dot on our duft
hoard ceery year. Nincdy pewent of anyone
whe has. cect stupped on shoulder pads
has. had seme type of tewe in his. labuem.
Successful duafting means being able te.
fiust your doctors.

- Doremus Jessup, GM, New England Colonials",ocr_crop_gray
jan-03,01-03,January 3,1,January,3,03_Jan.png,source_images/01_Jan/03_Jan.png,assets/quotes/01_Jan/03_Jan.png,"‘A good geneud manager ts. able to.
ceecule coaches. on personnel acquisitions.
loo many wont ot cont A good coach
understands and finds a way te wit
wegaulless.

- George F. Babbitt, GM, Arizona Pioneers",A good general manager is able to overrule coaches on personnel acquisitions. Too many won't or can't. A good coach understands and finds a way to win regardless.,"George F. Babbitt, GM, Arizona Pioneers",,true,true,,"co Quote of the Day Qo
""A good genewl manager ts able to
Too many won't ov can't. A good coach
understands and finds a way to win
rvegaulless:”
- George F. Babbitt, GM, Arizona Pioneers","‘A good genewl manager ts able to.
Too. many won't ov cant. A good coach
understands and finds a way to win
regardless.
- George F. Babbitt, GM, Arizona Pioneers","""A good genewl manager is able to-
loo. many wont ov cant. A good coach
understands and finds a way to win
regardless.
- George F. Babbitt, GM, Arizona Pioneers","‘A good geneud manager ts. able to.
ceecule coaches. on personnel acquisitions.
loo many wont ot cont A good coach
understands and finds a way te wit
wegaulless.

- George F. Babbitt, GM, Arizona Pioneers",ocr_color_mask
jan-04,01-04,January 4,1,January,4,04_Jan.png,source_images/01_Jan/04_Jan.png,assets/quotes/01_Jan/04_Jan.png,"[SS =  Qusteofthe Day
“Sure, luck means a lot in football. Not
having w good quaderback is bad luck”

- Don Shula","Sure, luck means a lot in football. Not having a good quarterback is bad luck.",Don Shula,,true,true,,"[SS =  Qusteofthe Day
“Sure, luck means a lot in football. Not
having w good quaderback is bad luck”

- Don Shula","“Sue, luck means a lot in football. Not
having a good guwdethack ts bad tuck“
- Don Shula","“Sune, luck means a lot in foothalt. Not
having a good quaderhack ts bad luck”
- Don Shula","ure, luck means. a lot ir football. Not
haeing « good quadetback ts. bad luck ©
- Don Shula",ocr_default
jan-05,01-05,January 5,1,January,5,05_Jan.png,source_images/01_Jan/05_Jan.png,assets/quotes/01_Jan/05_Jan.png,"Piomotion has. become, tt many ways, as

inpodant as the game dself. As a result,

you promote your big-name players, your
guaderiback, and the fans want to see them
- Sam Wyche","Promotion has become, in many ways, as important as the game itself. As a result, you promote your big-name players, your quarterback, and the fans want to see them play.",Sam Wyche,,true,true,,"‘eS  ————~—~=“‘te@ of theDay
""Promotion has become, in many ways, as
important as the game itself. As w result,
you pomeote your big-name players, your
quaterback, and the fans want to see them

hie

- Sam Wyche","‘Promotion has become, iv many ways, as

important as the game self. As a result,

you promote your big-name players, your
- Sam Wyche","“Promotion has become, iv many ways, as

impodant as the game itself. As a result,

you promote yowr big-name players, yowr
guudethack, and the fans want to see them
- Sam Wyche","Piomotion has. become, tt many ways, as

inpodant as the game dself. As a result,

you promote your big-name players, your
guaderiback, and the fans want to see them
- Sam Wyche",ocr_color_mask
jan-06,01-06,January 6,1,January,6,06_Jan.png,source_images/01_Jan/06_Jan.png,assets/quotes/01_Jan/06_Jan.png,"My jock ts to defeat the guy in font of
me, do t until he quits, and then watt for
them to send in the next guy.”

- Ndamukong Suh","My job is to defeat the guy in front of me, do it until he quits, and then wait for them to send in the next guy.",Ndamukong Suh,,true,true,,"‘eS  ————~—~=“‘te@ of theDay
“My job is to defeat the guy in front of
me, do tt until he quits, and then watt for

them to. send in the next guy.”

- Ndamukong Suh","My jock ts to defeat the guy in font of
me, do t until he quits, and then watt for
them to send in the next guy.”

- Ndamukong Suh","‘My job ts to defeat the guy in font of
me, do t until he quits, and then watt for
them to- send in the next guy.”

- Ndamukong Suh","My sob ts to defeat the guy in front of
me, do & unt he quis, and then wat for
them to send in the next guy.”

- Ndamukong Suh",ocr_crop_gray
jan-07,01-07,January 7,1,January,7,07_Jan.png,source_images/01_Jan/07_Jan.png,assets/quotes/01_Jan/07_Jan.png,"‘Hou. many tines. have | seen a guy
knocked off our duft board because of an
ingery conceu, and he has. twured out to be
a gia player?” At some pout doctors. need

lo- be held accountable.
- Benj Steinberg, Coach, Baltimore Nightwings","How many times have I seen a guy knocked off our draft board because of an injury concern, and he has turned out to be a great player? At some point doctors need to be held accountable.","Benj Steinberg, Coach, Baltimore Nightwings",,true,true,,"@ Quote of the Day c=)
“How. many times have 1 seen a guy
knocked of f owr cuaft board because of an
anyjwry concen, and he has twined cut to be
a gat player? At some point doctors need
to be held accountable”

- Benji Steinberg, Coach, Baltimore Nightwings","‘Tlow. many times have 1 seen a guy
injwry concem, and he has twmed cut to be
a gat playe? At some point doctors need

to be held accountable’
- Benji Steinberg, Coach, Baltimore Nightwings","‘Tlow. many times have 1 seen a guy
injwiy concen, and he has twmed cut to be
a geat player? At some point doctors need

to be held accountable”
- Benji Steinberg, Coach, Baltimore Nightwings","‘Hou. many tines. have | seen a guy
knocked off our duft board because of an
ingery conceu, and he has. twured out to be
a gia player?” At some pout doctors. need

lo- be held accountable.
- Benj Steinberg, Coach, Baltimore Nightwings",ocr_color_mask
jan-08,01-08,January 8,1,January,8,08_Jan.png,source_images/01_Jan/08_Jan.png,assets/quotes/01_Jan/08_Jan.png,"‘When you lock at some of the teams in
the league that have dipped the most,
you're often locking at a team that lost is
defensive coordinator to a head-coaching
Jol

- Clyde Griffiths, Coach, New York Gladiators","When you look at some of the teams in the league that have dropped the most, you're often looking at a team that lost its defensive coordinator to a head-coaching job.","Clyde Griffiths, Coach, New York Gladiators",,true,true,,"@ Quote of the Day c=)
the leaque that have cdiopped the most,
you're often looking at a team that lost is
defensive coordinator to aw head-coaching
Jo

- Clyde Griffiths, Coach, New York Gladiators","‘When you lock at some of the teams in
the league that have dipped the most,
you're often locking at a team that lost is
defensive coordinator to a head-coaching
Jol

- Clyde Griffiths, Coach, New York Gladiators","“When you lock at some of the teams in
the league that have dipped the most,
you're often looking at a team that lost ts
defensive coordinator to a head-coaching
job”

- Clyde Griffiths, Coach, New York Gladiators","“When you lock at some of the teams in
the league that have diopped the most,
you're often looking at a team that lost ds
defensive coordinede to a head-coaching

- Clyde Griffiths, Coach, New York Gladiators",ocr_crop_gray
jan-09,01-09,January 9,1,January,9,09_Jan.png,source_images/01_Jan/09_Jan.png,assets/quotes/01_Jan/09_Jan.png,"""You can play hard. You can play
aggressive. You can gwe 120%, but if one
guy ts out of postion then someone's
cunning though the ine of scummage and
he's going to gain a bunch of yards.”

- Bill Belichick","You can play hard. You can play aggressive. You can give 120%, but if one guy is out of position then someone's running through the line of scrimmage and he's going to gain a bunch of yards.",Bill Belichick,,true,true,,"@ Quote of the Day c=)
aggusswe. You can give 120%, but of one
guy ts out of position then someone's
wnning thwugh the line of scimmage and
he’s going to gain a bunch of yards.”

- Bill Belichick","""Yeu can play hard. Yeu can play
aggressive. You can gwe 120%, but if one
guy is out of position then someone's
cunning though the tne of scummage and
he’s going to gain a bunch of yards.”

- Bill Belichick","""You can play hard. You can play
aggressive. You can gwe 120%, but if one
guy ts out of postion then someone's
cunning though the ine of scummage and
he's going to gain a bunch of yards.”

- Bill Belichick","“Yeu can play herd. You can play
aggiessive. You cor give 120%, but if ene
guy ts cut of postion then someone's
wuuuing though the tne 6f scunnage and
he's. going te gain a bunch 6f yecrds.~

- Bill Belichick",ocr_crop_contrast
jan-10,01-10,January 10,1,January,10,10_Jan.png,source_images/01_Jan/10_Jan.png,assets/quotes/01_Jan/10_Jan.png,"The pructice, you con only stimulate so muck
stuff. When you're lve, things. wre
different. Yeu cant always dep back, set
your feet, and thiew- the ball. You've got t-
he able te move wound back thew and
make people miss and find your guys.

- Jake Delhomme","In practice, you can only simulate so much stuff. When you're live, things are different. You can't always drop back, set your feet, and throw the ball. You've got to be able to move around back there and make people miss and find your guys.",Jake Delhomme,,true,true,,"co Quote of the Day Qo
“In practice, you can only simulate so much
different. You can’t always dtop back, set
your feet, and thw. the ball. You've got to-
be able to move wwund back there and
make people miss and find your guys.”
- Jake Delhomme","‘Tn practice, you can only simulate so much
stuff. When you're lve, things are
different. You cant always dip back, set
your feet, and thw the ball. You've got to
be able to. move awund back there and
make people miss and find your guys.”

- Jake Delhomme","“In practice, you can only simulate so much
stuff. When you're lwe, things ae
different. You can’t always dip back, set
your feet, and thw the ball. Yowve got to
be able toe move wound back there and
make people miss and find your guys.”

- Jake Delhomme","The pructice, you con only stimulate so muck
stuff. When you're lve, things. wre
different. Yeu cant always dep back, set
your feet, and thiew- the ball. You've got t-
he able te move wound back thew and
make people miss and find your guys.

- Jake Delhomme",ocr_color_mask
